"Consequent","Antecedent","ItemSetSupport","RelativeItemSetSupport%","RuleConfidence%","AbsoluteBodySetSupport","RelativeBodySetSupport%","RuleLift","RuleLift%","AbsoluteHeadItemSupport","RelativeHeadItemSupport%"
"DGK-0TH-PP1U-01","1859008-4",1,0.02584,0.775,129,3.33,30,3000,1,0.02584
"DGK-PKT-2018Q3-BHIN2","6-219590-2",2,0.05168,0.8,250,6.46,15.48,1548,2,0.05168
"DGK-PKT-AMP-CABLE-004","1427071-6",2,0.05168,0.719,278,7.18,13.921,1392.1,2,0.05168
"DGK-PKT-AMP-CABLE-004","6-554720-5-PACK",2,0.05168,0.98,204,5.27,18.971,1897.1,2,0.05168
"DGK-PKT-AMP-CAT6-PP24-07","1859008-4",1,0.02584,0.775,129,3.33,30,3000,1,0.02584
"2843022-6-PACK","6-2111979-3-PACK",2,0.05168,0.889,225,5.81,17.2,1720,2,0.05168
"2105032-1","1859008-4",1,0.02584,0.775,129,3.33,15,1500,2,0.05168
"4-1206138-4","1859008-4",1,0.02584,0.775,129,3.33,30,3000,1,0.02584
"DGK-PKT-AMP-CABLE-009","6-219590-2",4,0.10336,1.6,250,6.46,15.48,1548,4,0.10336
"DGK-PKT-AMP-CABLE-009","6-554720-5-PACK",4,0.10336,1.96,204,5.27,18.971,1897.1,4,0.10336
"DGK-PKT-AMP-CABLE-003","6-219590-2",4,0.10336,1.6,250,6.46,15.48,1548,4,0.10336
"DGK-PKT-AMP-CABLE-003","6-554720-5-PACK",4,0.10336,1.96,204,5.27,18.971,1897.1,4,0.10336
"2105026-2","1859008-4",1,0.02584,0.775,129,3.33,7.5,750,4,0.10336
"DGK-PKT-AMP-CABLE-008","6-219590-2",5,0.1292,2,250,6.46,15.48,1548,5,0.1292
"DGK-PKT-AMP-CABLE-008","6-554720-5-PACK",5,0.1292,2.45,204,5.27,18.971,1897.1,5,0.1292
"2-1859420-3","1859008-4",1,0.02584,0.775,129,3.33,15,1500,2,0.05168
"1479155-2","1859008-4",1,0.02584,0.775,129,3.33,2.3077,230.77,13,0.33592
"2843032-3-PACK","6-2111979-3-PACK",4,0.10336,1.78,225,5.81,13.76,1376,5,0.1292
"1375055-2","1427632-2",2,0.05168,0.823,243,6.28,6.3704,637.04,5,0.1292
"1859532-2","6-554720-5-PACK",2,0.05168,0.98,204,5.27,7.5882,758.82,5,0.1292
"1859532-2","1933748-6",2,0.05168,1.39,144,3.72,10.75,1075,5,0.1292
"1859532-2","1933796-2",2,0.05168,1.18,169,4.37,9.1598,915.98,5,0.1292
"1859532-2","1859049-1",2,0.05168,1.1,182,4.7,8.5055,850.55,5,0.1292
"1859532-2","1859050-1",2,0.05168,1.32,151,3.9,10.252,1025.2,5,0.1292
"1859532-2","1427632-2",2,0.05168,0.823,243,6.28,6.3704,637.04,5,0.1292
"DGK-PKT-AMP-CABLE-001","1427071-6",7,0.18088,2.52,278,7.18,13.921,1392.1,7,0.18088
"DGK-PKT-AMP-CABLE-001","6-554720-5-PACK",7,0.18088,3.43,204,5.27,18.971,1897.1,7,0.18088
"DGK-PKT-AMP-CABLE-001","1859008-4",1,0.02584,0.775,129,3.33,4.2857,428.57,7,0.18088
"DGK-PKT-AMP-CABLE-005","6-219590-2",5,0.1292,2,250,6.46,15.48,1548,5,0.1292
"DGK-PKT-AMP-CABLE-005","6-554720-5-PACK",5,0.1292,2.45,204,5.27,18.971,1897.1,5,0.1292
"1859534-2","6-554720-5-PACK",2,0.05168,0.98,204,5.27,9.4853,948.53,4,0.10336
"1859534-2","1933748-6",2,0.05168,1.39,144,3.72,13.438,1343.8,4,0.10336
"1859534-2","1933796-2",2,0.05168,1.18,169,4.37,11.45,1145,4,0.10336
"1859534-2","1859049-1",2,0.05168,1.1,182,4.7,10.632,1063.2,4,0.10336
"1859534-2","1859050-1",3,0.077519,1.99,151,3.9,19.222,1922.2,4,0.10336
"1859534-2","1427632-2",2,0.05168,0.823,243,6.28,7.963,796.3,4,0.10336
"1435516-2","1427632-2",2,0.05168,0.823,243,6.28,15.926,1592.6,2,0.05168
"DGK-PKT-AMP-CABLE-010","1427071-6",8,0.20672,2.88,278,7.18,13.921,1392.1,8,0.20672
"DGK-PKT-AMP-CABLE-010","6-2111979-3-PACK",8,0.20672,3.56,225,5.81,17.2,1720,8,0.20672
"1859532-3","6-554720-5-PACK",2,0.05168,0.98,204,5.27,7.5882,758.82,5,0.1292
"1859532-3","1933748-6",2,0.05168,1.39,144,3.72,10.75,1075,5,0.1292
"1859532-3","1933796-2",3,0.077519,1.78,169,4.37,13.74,1374,5,0.1292
"1859532-3","1859049-1",2,0.05168,1.1,182,4.7,8.5055,850.55,5,0.1292
"1859532-3","1859050-1",3,0.077519,1.99,151,3.9,15.377,1537.7,5,0.1292
"1859532-3","1427632-2",2,0.05168,0.823,243,6.28,6.3704,637.04,5,0.1292
"1859082-1","1859008-4",1,0.02584,0.775,129,3.33,6,600,5,0.1292
"1859082-1","1859008-7",2,0.05168,1.32,152,3.93,10.184,1018.4,5,0.1292
"1859082-1","1-1859008-0",2,0.05168,1.34,149,3.85,10.389,1038.9,5,0.1292
"1859082-1","1427632-2",3,0.077519,1.23,243,6.28,9.5556,955.56,5,0.1292
"2-1671000-8","1933748-6",2,0.05168,1.39,144,3.72,10.75,1075,5,0.1292
"2-1671000-8","6-2111979-3-PACK",3,0.077519,1.33,225,5.81,10.32,1032,5,0.1292
"2-1671000-8","1427632-2",2,0.05168,0.823,243,6.28,6.3704,637.04,5,0.1292
"EH1457-002","1427632-2",2,0.05168,0.823,243,6.28,15.926,1592.6,2,0.05168
"1859081-1","1933796-2",2,0.05168,1.18,169,4.37,9.1598,915.98,5,0.1292
"1859081-1","1427632-2",2,0.05168,0.823,243,6.28,6.3704,637.04,5,0.1292
"1859168-1","1933796-2",2,0.05168,1.18,169,4.37,3.8166,381.66,12,0.31008
"1859168-1","1427632-2",2,0.05168,0.823,243,6.28,2.6543,265.43,12,0.31008
"1933307-1","1859008-4",1,0.02584,0.775,129,3.33,3.3333,333.33,9,0.23256
"1859009-4","1859008-4",1,0.02584,0.775,129,3.33,6,600,5,0.1292
"1859009-4","1859049-1",3,0.077519,1.65,182,4.7,12.758,1275.8,5,0.1292
"A-DQ (ZN) (SR)2Y 2X6 E9",,30,0.77519,0.775,3870,100,1,100,30,0.77519
"1711816-1","1859008-4",1,0.02584,0.775,129,3.33,5,500,6,0.15504
"1-1859241-0","6-554720-5-PACK",2,0.05168,0.98,204,5.27,6.3235,632.35,6,0.15504
"1-1859241-0","1859008-4",1,0.02584,0.775,129,3.33,5,500,6,0.15504
"1-1859241-0","1859050-1",2,0.05168,1.32,151,3.9,8.543,854.3,6,0.15504
"1-6457567-6","1427632-2",2,0.05168,0.823,243,6.28,6.3704,637.04,5,0.1292
"1859012-7","1859008-7",2,0.05168,1.32,152,3.93,3.917,391.7,13,0.33592
"1859012-7","1933796-2",2,0.05168,1.18,169,4.37,3.523,352.3,13,0.33592
"1859012-7","1427632-2",2,0.05168,0.823,243,6.28,2.4501,245.01,13,0.33592
"1-1859115-1-PACK","6-554720-5-PACK",2,0.05168,0.98,204,5.27,2.9186,291.86,13,0.33592
"1-1859115-1-PACK","1933796-2",2,0.05168,1.18,169,4.37,3.523,352.3,13,0.33592
"1-1859115-1-PACK","1427632-2",2,0.05168,0.823,243,6.28,2.4501,245.01,13,0.33592
"AT-GS910/8",,30,0.77519,0.775,3870,100,1,100,30,0.77519
"DGK-PKT-AMP-CABLE-002","1427071-6",12,0.31008,4.32,278,7.18,13.921,1392.1,12,0.31008
"DGK-PKT-AMP-CABLE-002","6-554720-5-PACK",12,0.31008,5.88,204,5.27,18.971,1897.1,12,0.31008
"2105027-1","1859008-4",1,0.02584,0.775,129,3.33,6,600,5,0.1292
"2105027-1","1933748-6",2,0.05168,1.39,144,3.72,10.75,1075,5,0.1292
"2105027-1","1427632-2",2,0.05168,0.823,243,6.28,6.3704,637.04,5,0.1292
"1711816-2","1-1859008-0",2,0.05168,1.34,149,3.85,4.7224,472.24,11,0.28424
"1711816-2","1427632-2",2,0.05168,0.823,243,6.28,2.8956,289.56,11,0.28424
"1375191-2","1859008-4",1,0.02584,0.775,129,3.33,1.5,150,20,0.5168
"1375191-2","1859049-1",11,0.28424,6.04,182,4.7,11.695,1169.5,20,0.5168
"1375191-2","1859050-1",3,0.077519,1.99,151,3.9,3.8444,384.44,20,0.5168
"1859247-7","1933748-6",2,0.05168,1.39,144,3.72,7.6786,767.86,7,0.18088
"1859247-7","1933796-2",2,0.05168,1.18,169,4.37,6.5427,654.27,7,0.18088
"1859247-7","1859049-1",2,0.05168,1.1,182,4.7,6.0754,607.54,7,0.18088
"1859247-7","1427632-2",2,0.05168,0.823,243,6.28,4.5503,455.03,7,0.18088
"2105028-1","1933748-6",2,0.05168,1.39,144,3.72,13.438,1343.8,4,0.10336
"2105028-1","1933796-2",2,0.05168,1.18,169,4.37,11.45,1145,4,0.10336
"1933748-8","1859049-1",4,0.10336,2.2,182,4.7,21.264,2126.4,4,0.10336
"1933748-8","1859050-1",4,0.10336,2.65,151,3.9,25.629,2562.9,4,0.10336
"1933748-8","1427632-2",4,0.10336,1.65,243,6.28,15.926,1592.6,4,0.10336
"2105027-2","1859008-4",1,0.02584,0.775,129,3.33,6,600,5,0.1292
"2105027-2","1427632-2",2,0.05168,0.823,243,6.28,6.3704,637.04,5,0.1292
"2-5502776-6","1859008-4",1,0.02584,0.775,129,3.33,4.2857,428.57,7,0.18088
"2-5502776-6","1427632-2",2,0.05168,0.823,243,6.28,4.5503,455.03,7,0.18088
"1116698-1","1859008-4",2,0.05168,1.55,129,3.33,4.2857,428.57,14,0.36176
"1116698-1","1427632-2",2,0.05168,0.823,243,6.28,2.2751,227.51,14,0.36176
"DGK-PKT-AMP-CAT6-PP24-05","1859049-1",4,0.10336,2.2,182,4.7,8.5055,850.55,10,0.2584
"DGK-PKT-AMP-CAT6-PP24-05","1859050-1",5,0.1292,3.31,151,3.9,12.815,1281.5,10,0.2584
"DGK-PKT-AMP-CAT6-PP24-05","1427632-2",4,0.10336,1.65,243,6.28,6.3704,637.04,10,0.2584
"AT-GS950/16",,35,0.90439,0.904,3870,100,1,100,35,0.90439
"1859241-4","1859008-4",2,0.05168,1.55,129,3.33,4,400,15,0.3876
"1859241-4","1859008-7",2,0.05168,1.32,152,3.93,3.3947,339.47,15,0.3876
"1859241-4","1933796-2",3,0.077519,1.78,169,4.37,4.5799,457.99,15,0.3876
"1859241-4","1427632-2",4,0.10336,1.65,243,6.28,4.2469,424.69,15,0.3876
"1859012-4","1859049-1",4,0.10336,2.2,182,4.7,9.4505,945.05,9,0.23256
"1859012-4","1859050-1",4,0.10336,2.65,151,3.9,11.391,1139.1,9,0.23256
"1859012-4","1427632-2",4,0.10336,1.65,243,6.28,7.0782,707.82,9,0.23256
"1859218-2",,48,1.2403,1.24,3870,100,1,100,48,1.2403
"2105008-2","1859008-4",1,0.02584,0.775,129,3.33,3.75,375,8,0.20672
"6-569278-3-PACK","6-2111979-3-PACK",3,0.077519,1.33,225,5.81,1.8429,184.29,28,0.72351
"6-569278-3-PACK","1427632-2",3,0.077519,1.23,243,6.28,1.7063,170.63,28,0.72351
"6-569278-3-PACK",,28,0.72351,0.724,3870,100,1,100,28,0.72351
"AT-MC103XL",,42,1.0853,1.09,3870,100,1,100,42,1.0853
"1-1859247-0","1859008-7",2,0.05168,1.32,152,3.93,4.6292,462.92,11,0.28424
"1-1859247-0","1933748-6",3,0.077519,2.08,144,3.72,7.3295,732.95,11,0.28424
"1-1859247-0","1933796-2",3,0.077519,1.78,169,4.37,6.2453,624.53,11,0.28424
"1-1859247-0","1859049-1",5,0.1292,2.75,182,4.7,9.6653,966.53,11,0.28424
"1-1859247-0","1859050-1",2,0.05168,1.32,151,3.9,4.6598,465.98,11,0.28424
"2105007-2","1859008-4",2,0.05168,1.55,129,3.33,7.5,750,8,0.20672
"2105007-2","1933796-2",2,0.05168,1.18,169,4.37,5.7249,572.49,8,0.20672
"2105007-2","6-2111979-3-PACK",2,0.05168,0.889,225,5.81,4.3,430,8,0.20672
"2105007-2","1427632-2",4,0.10336,1.65,243,6.28,7.963,796.3,8,0.20672
"9-737893-3-PACK","1859008-7",3,0.077519,1.97,152,3.93,4.0201,402.01,19,0.49096
"9-737893-3-PACK","1-1859008-0",2,0.05168,1.34,149,3.85,2.734,273.4,19,0.49096
"9-737893-3-PACK","1933748-6",6,0.15504,4.17,144,3.72,8.4868,848.68,19,0.49096
"9-737893-3-PACK","1933796-2",3,0.077519,1.78,169,4.37,3.6157,361.57,19,0.49096
"9-737893-3-PACK","6-2111979-3-PACK",14,0.36176,6.22,225,5.81,12.674,1267.4,19,0.49096
"9-737893-3-PACK","1859049-1",2,0.05168,1.1,182,4.7,2.2383,223.83,19,0.49096
"9-737893-3-PACK","1859050-1",5,0.1292,3.31,151,3.9,6.7445,674.45,19,0.49096
"9-737893-3-PACK","1427632-2",3,0.077519,1.23,243,6.28,2.5146,251.46,19,0.49096
"5504640-1","1859008-4",1,0.02584,0.775,129,3.33,2.1429,214.29,14,0.36176
"5504640-1","1-1859008-0",2,0.05168,1.34,149,3.85,3.7105,371.05,14,0.36176
"2105031-3","1859008-4",2,0.05168,1.55,129,3.33,6,600,10,0.2584
"2105031-3","1933796-2",2,0.05168,1.18,169,4.37,4.5799,457.99,10,0.2584
"2105031-3","6-2111979-3-PACK",2,0.05168,0.889,225,5.81,3.44,344,10,0.2584
"2105031-3","1427632-2",5,0.1292,2.06,243,6.28,7.963,796.3,10,0.2584
"1-5502776-1","1859008-4",1,0.02584,0.775,129,3.33,2.5,250,12,0.31008
"2-336513-4","1859008-4",1,0.02584,0.775,129,3.33,2.3077,230.77,13,0.33592
"2-336513-4","1-1859008-0",3,0.077519,2.01,149,3.85,5.9938,599.38,13,0.33592
"2-336513-4","6-2111979-3-PACK",10,0.2584,4.44,225,5.81,13.231,1323.1,13,0.33592
"2-336513-4","1859049-1",2,0.05168,1.1,182,4.7,3.2713,327.13,13,0.33592
"2-336513-4","1427632-2",4,0.10336,1.65,243,6.28,4.9003,490.03,13,0.33592
"AT-GS910/16",,39,1.0078,1.01,3870,100,1,100,39,1.0078
"1725150-1","1859008-4",1,0.02584,0.775,129,3.33,1.5,150,20,0.5168
"1725150-1","1933748-6",2,0.05168,1.39,144,3.72,2.6875,268.75,20,0.5168
"1725150-1","1859050-1",2,0.05168,1.32,151,3.9,2.5629,256.29,20,0.5168
"1-1859012-0","1859049-1",3,0.077519,1.65,182,4.7,3.0377,303.77,21,0.54264
"1-1859012-0","1859050-1",3,0.077519,1.99,151,3.9,3.6613,366.13,21,0.54264
"1-1859012-0","1427632-2",3,0.077519,1.23,243,6.28,2.2751,227.51,21,0.54264
"AT-MC101XL",,40,1.0336,1.03,3870,100,1,100,40,1.0336
"790163-1","1933796-2",2,0.05168,1.18,169,4.37,1.2052,120.52,38,0.98191
"790163-1","6-2111979-3-PACK",9,0.23256,4,225,5.81,4.0737,407.37,38,0.98191
"790163-1","1427632-2",2,0.05168,0.823,243,6.28,0.83821,83.821,38,0.98191
"790163-1",,38,0.98191,0.982,3870,100,1,100,38,0.98191
"1711716-1","1859008-4",1,0.02584,0.775,129,3.33,1.7647,176.47,17,0.43928
"AT-GS910/24",,46,1.1886,1.19,3870,100,1,100,46,1.1886
"6457567-4","1933748-6",2,0.05168,1.39,144,3.72,5.9722,597.22,9,0.23256
"6457567-4","1933796-2",2,0.05168,1.18,169,4.37,5.0888,508.88,9,0.23256
"6457567-4","1859050-1",3,0.077519,1.99,151,3.9,8.543,854.3,9,0.23256
"6457567-4","1427632-2",2,0.05168,0.823,243,6.28,3.5391,353.91,9,0.23256
"AT-GS950/24",,42,1.0853,1.09,3870,100,1,100,42,1.0853
"1859241-7","1859008-4",1,0.02584,0.775,129,3.33,1.3636,136.36,22,0.56848
"1859241-7","1859008-7",4,0.10336,2.63,152,3.93,4.6292,462.92,22,0.56848
"1859241-7","1-1859008-0",4,0.10336,2.68,149,3.85,4.7224,472.24,22,0.56848
"1859241-7","1933748-6",4,0.10336,2.78,144,3.72,4.8864,488.64,22,0.56848
"1859241-7","6-2111979-3-PACK",2,0.05168,0.889,225,5.81,1.5636,156.36,22,0.56848
"1859241-7","1859050-1",7,0.18088,4.64,151,3.9,8.1547,815.47,22,0.56848
"1859241-7","1427632-2",2,0.05168,0.823,243,6.28,1.4478,144.78,22,0.56848
"AT-RKMT-J05","1859050-1",2,0.05168,1.32,151,3.9,25.629,2562.9,2,0.05168
"AV20565D","1859050-1",2,0.05168,1.32,151,3.9,25.629,2562.9,2,0.05168
"PANELBOX","1859050-1",2,0.05168,1.32,151,3.9,25.629,2562.9,2,0.05168
"DGK-OTH-DC48","1859050-1",2,0.05168,1.32,151,3.9,25.629,2562.9,2,0.05168
"AT-FS724L","6-219590-2",2,0.05168,0.8,250,6.46,0.58415,58.415,53,1.3695
"AT-FS724L",,53,1.3695,1.37,3870,100,1,100,53,1.3695
"9-737893-4-PACK","1859008-4",3,0.077519,2.33,129,3.33,2.6471,264.71,34,0.87855
"9-737893-4-PACK","1-1859008-0",3,0.077519,2.01,149,3.85,2.2917,229.17,34,0.87855
"9-737893-4-PACK","1933748-6",5,0.1292,3.47,144,3.72,3.9522,395.22,34,0.87855
"9-737893-4-PACK","1933796-2",5,0.1292,2.96,169,4.37,3.3676,336.76,34,0.87855
"9-737893-4-PACK","6-2111979-3-PACK",20,0.5168,8.89,225,5.81,10.118,1011.8,34,0.87855
"9-737893-4-PACK","1859049-1",3,0.077519,1.65,182,4.7,1.8762,187.62,34,0.87855
"9-737893-4-PACK","1859050-1",2,0.05168,1.32,151,3.9,1.5076,150.76,34,0.87855
"9-737893-4-PACK","1427632-2",4,0.10336,1.65,243,6.28,1.8736,187.36,34,0.87855
"9-737893-4-PACK",,34,0.87855,0.879,3870,100,1,100,34,0.87855
"AT-GS908M","1859050-1",2,0.05168,1.32,151,3.9,12.815,1281.5,4,0.10336
"1375191-1","6-554720-5-PACK",7,0.18088,3.43,204,5.27,3.9057,390.57,34,0.87855
"1375191-1","1859008-7",2,0.05168,1.32,152,3.93,1.4977,149.77,34,0.87855
"1375191-1","6-2111979-3-PACK",2,0.05168,0.889,225,5.81,1.0118,101.18,34,0.87855
"1375191-1","1859049-1",6,0.15504,3.3,182,4.7,3.7524,375.24,34,0.87855
"1375191-1","1859050-1",7,0.18088,4.64,151,3.9,5.2766,527.66,34,0.87855
"1375191-1","1427632-2",3,0.077519,1.23,243,6.28,1.4052,140.52,34,0.87855
"1375191-1",,34,0.87855,0.879,3870,100,1,100,34,0.87855
"1933797-2","1859008-4",5,0.1292,3.88,129,3.33,3.9474,394.74,38,0.98191
"1933797-2","1859008-7",3,0.077519,1.97,152,3.93,2.01,201,38,0.98191
"1933797-2","1-1859008-0",2,0.05168,1.34,149,3.85,1.367,136.7,38,0.98191
"1933797-2","1933748-6",6,0.15504,4.17,144,3.72,4.2434,424.34,38,0.98191
"1933797-2","1933796-2",4,0.10336,2.37,169,4.37,2.4105,241.05,38,0.98191
"1933797-2","6-2111979-3-PACK",2,0.05168,0.889,225,5.81,0.90526,90.526,38,0.98191
"1933797-2","1859049-1",4,0.10336,2.2,182,4.7,2.2383,223.83,38,0.98191
"1933797-2","1859050-1",2,0.05168,1.32,151,3.9,1.3489,134.89,38,0.98191
"1933797-2","1427632-2",6,0.15504,2.47,243,6.28,2.5146,251.46,38,0.98191
"1933797-2",,38,0.98191,0.982,3870,100,1,100,38,0.98191
"2105003-2","1427632-2",5,0.1292,2.06,243,6.28,5.3086,530.86,15,0.3876
"AT-MC102XL",,62,1.6021,1.6,3870,100,1,100,62,1.6021
"AT-FSW708",,54,1.3953,1.4,3870,100,1,100,54,1.3953
"1671000-8","1933748-6",2,0.05168,1.39,144,3.72,3.5833,358.33,15,0.3876
"1671000-8","1933796-2",3,0.077519,1.78,169,4.37,4.5799,457.99,15,0.3876
"1671000-8","1859050-1",3,0.077519,1.99,151,3.9,5.1258,512.58,15,0.3876
"1671000-8","1427632-2",3,0.077519,1.23,243,6.28,3.1852,318.52,15,0.3876
"AT-IE300-12GP-80","1859050-1",2,0.05168,1.32,151,3.9,17.086,1708.6,3,0.077519
"AT-TQ4400E-DSA1","1859050-1",2,0.05168,1.32,151,3.9,17.086,1708.6,3,0.077519
"AT-TQ4400E","1859050-1",2,0.05168,1.32,151,3.9,17.086,1708.6,3,0.077519
"AT-UWC-20-LIC","1859050-1",2,0.05168,1.32,151,3.9,17.086,1708.6,3,0.077519
"AT-IE300-12GP-80-DSA1","1859050-1",2,0.05168,1.32,151,3.9,17.086,1708.6,3,0.077519
"AT-UWC-60-APL-DSA1","1859050-1",2,0.05168,1.32,151,3.9,17.086,1708.6,3,0.077519
"AT-X230-18GP-N1","1859050-1",2,0.05168,1.32,151,3.9,12.815,1281.5,4,0.10336
"1859010-7","1859008-4",2,0.05168,1.55,129,3.33,1.8182,181.82,33,0.85271
"1859010-7","1859008-7",7,0.18088,4.61,152,3.93,5.4007,540.07,33,0.85271
"1859010-7","1-1859008-0",6,0.15504,4.03,149,3.85,4.7224,472.24,33,0.85271
"1859010-7","1933748-6",3,0.077519,2.08,144,3.72,2.4432,244.32,33,0.85271
"1859010-7","1933796-2",7,0.18088,4.14,169,4.37,4.8575,485.75,33,0.85271
"1859010-7","1859049-1",2,0.05168,1.1,182,4.7,1.2887,128.87,33,0.85271
"1859010-7","1859050-1",5,0.1292,3.31,151,3.9,3.8832,388.32,33,0.85271
"1859010-7","1427632-2",7,0.18088,2.88,243,6.28,3.3782,337.82,33,0.85271
"1859010-7",,33,0.85271,0.853,3870,100,1,100,33,0.85271
"AT-TQ4600-DSA1","1859050-1",2,0.05168,1.32,151,3.9,12.815,1281.5,4,0.10336
"AT-UWC-60-APL","1859050-1",2,0.05168,1.32,151,3.9,12.815,1281.5,4,0.10336
"AT-GS916M","1859050-1",2,0.05168,1.32,151,3.9,10.252,1025.2,5,0.1292
"4-1671000-8","1859050-1",3,0.077519,1.99,151,3.9,15.377,1537.7,5,0.1292
"219413-2","6-219590-2",2,0.05168,0.8,250,6.46,0.3225,32.25,96,2.4806
"219413-2","6-554720-5-PACK",2,0.05168,0.98,204,5.27,0.39522,39.522,96,2.4806
"219413-2",,96,2.4806,2.48,3870,100,1,100,96,2.4806
"AT-IMC1000TP/SFP-80","1859050-1",2,0.05168,1.32,151,3.9,17.086,1708.6,3,0.077519
"AT-X930-28GSTX-N1-DSA1","1859050-1",2,0.05168,1.32,151,3.9,17.086,1708.6,3,0.077519
"AV20585DN","1859050-1",2,0.05168,1.32,151,3.9,17.086,1708.6,3,0.077519
"PMBT9TRA","1859050-1",2,0.05168,1.32,151,3.9,17.086,1708.6,3,0.077519
"AT-XEM-12S","1859050-1",2,0.05168,1.32,151,3.9,12.815,1281.5,4,0.10336
"AT-GS924M","1859050-1",2,0.05168,1.32,151,3.9,7.3226,732.26,7,0.18088
"AT-X230-28GP-N1","1859050-1",3,0.077519,1.99,151,3.9,10.984,1098.4,7,0.18088
"1933748-1","1859008-4",4,0.10336,3.1,129,3.33,2.5532,255.32,47,1.2145
"1933748-1","1859008-7",2,0.05168,1.32,152,3.93,1.0834,108.34,47,1.2145
"1933748-1","1-1859008-0",12,0.31008,8.05,149,3.85,6.6314,663.14,47,1.2145
"1933748-1","1933748-6",6,0.15504,4.17,144,3.72,3.4309,343.09,47,1.2145
"1933748-1","1933796-2",7,0.18088,4.14,169,4.37,3.4106,341.06,47,1.2145
"1933748-1","6-2111979-3-PACK",6,0.15504,2.67,225,5.81,2.1957,219.57,47,1.2145
"1933748-1","1859049-1",12,0.31008,6.59,182,4.7,5.429,542.9,47,1.2145
"1933748-1","1859050-1",4,0.10336,2.65,151,3.9,2.1812,218.12,47,1.2145
"1933748-1","1427632-2",5,0.1292,2.06,243,6.28,1.6942,169.42,47,1.2145
"1933748-1",,47,1.2145,1.21,3870,100,1,100,47,1.2145
"1427561-1","1859050-1",3,0.077519,1.99,151,3.9,19.222,1922.2,4,0.10336
"1933748-2","1859008-4",4,0.10336,3.1,129,3.33,3.75,375,32,0.82687
"1933748-2","1859008-7",7,0.18088,4.61,152,3.93,5.5695,556.95,32,0.82687
"1933748-2","1-1859008-0",12,0.31008,8.05,149,3.85,9.7399,973.99,32,0.82687
"1933748-2","1933748-6",3,0.077519,2.08,144,3.72,2.5195,251.95,32,0.82687
"1933748-2","1933796-2",4,0.10336,2.37,169,4.37,2.8624,286.24,32,0.82687
"1933748-2","6-2111979-3-PACK",6,0.15504,2.67,225,5.81,3.225,322.5,32,0.82687
"1933748-2","1859049-1",9,0.23256,4.95,182,4.7,5.9804,598.04,32,0.82687
"1933748-2","1859050-1",8,0.20672,5.3,151,3.9,6.4073,640.73,32,0.82687
"1933748-2","1427632-2",12,0.31008,4.94,243,6.28,5.9722,597.22,32,0.82687
"1933748-2",,32,0.82687,0.827,3870,100,1,100,32,0.82687
"AT-TQ4600","1859050-1",2,0.05168,1.32,151,3.9,3.6613,366.13,14,0.36176
"2-1671000-4","1859050-1",2,0.05168,1.32,151,3.9,10.252,1025.2,5,0.1292
"AT-X930-28GSTX-N1-00","1859050-1",2,0.05168,1.32,151,3.9,8.543,854.3,6,0.15504
"6457567-5","1933748-6",2,0.05168,1.39,144,3.72,7.6786,767.86,7,0.18088
"6457567-5","1859050-1",2,0.05168,1.32,151,3.9,7.3226,732.26,7,0.18088
